7.45 Mbits/sec   3.857 ms    0/ 6368 (0%) 74.256/ 5.801/179.751/24.036 ms  633 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%)  3.835/ 3.553/ 6.359/ 0.140 ms  680 pps
11.0 Mbits/sec   0.116 ms    0/ 9355 (0%)  3.806/ 3.511/ 7.670/ 0.155 ms  935 pps
10.0 Mbits/sec   0.090 ms    0/ 8505 (0%)  3.800/ 3.496/ 7.664/ 0.147 ms  850 pps
6.00 Mbits/sec   0.090 ms    0/ 5104 (0%)  3.762/ 3.472/ 8.031/ 0.184 ms  510 pps
9.00 Mbits/sec   0.407 ms    0/ 7654 (0%)  3.806/ 3.482/13.344/ 0.344 ms  765 pps
11.0 Mbits/sec   0.115 ms    0/ 9355 (0%)  3.749/ 3.453/ 6.678/ 0.138 ms  935 pps
5.00 Mbits/sec   0.111 ms    0/ 4253 (0%)  3.767/ 3.451/ 9.755/ 0.173 ms  425 pps
11.0 Mbits/sec   0.094 ms    0/ 9355 (0%)  3.720/ 3.421/ 7.911/ 0.175 ms  935 pps
6.00 Mbits/sec   0.112 ms    0/ 5103 (0%)  3.724/ 3.405/11.783/ 0.375 ms  510 pps
6.00 Mbits/sec   0.113 ms    0/ 5103 (0%)  3.700/ 3.399/ 5.518/ 0.127 ms  510 pps
9.00 Mbits/sec   0.142 ms    0/ 7654 (0%)  3.768/ 3.405/13.607/ 0.392 ms  765 pps
9.00 Mbits/sec   0.102 ms    0/ 7654 (0%)  3.712/ 3.420/11.817/ 0.219 ms  765 pps
7.00 Mbits/sec   0.146 ms    0/ 5954 (0%)  3.821/ 3.429/13.843/ 0.451 ms  595 pps
9.00 Mbits/sec   0.083 ms    0/ 7655 (0%)  3.725/ 3.424/ 8.454/ 0.173 ms  765 pps
10.0 Mbits/sec   0.132 ms    0/ 8505 (0%)  3.741/ 3.431/ 8.524/ 0.149 ms  850 pps
11.0 Mbits/sec   0.076 ms    0/ 9355 (0%)  3.757/ 3.452/ 8.674/ 0.200 ms  935 pps
7.00 Mbits/sec   0.127 ms    0/ 5954 (0%)  3.879/ 3.460/11.385/ 0.324 ms  595 pps
7.00 Mbits/sec   0.128 ms    0/ 5954 (0%)  3.781/ 3.464/11.666/ 0.234 ms  595 pps
11.0 Mbits/sec   0.125 ms    0/ 9355 (0%)  3.772/ 3.460/12.165/ 0.257 ms  935 pps
8.00 Mbits/sec   0.111 ms    0/ 6804 (0%)  3.784/ 3.465/ 7.508/ 0.176 ms  680 pps
5.00 Mbits/sec   0.176 ms    0/ 4253 (0%)  3.798/ 3.484/ 7.329/ 0.177 ms  425 pps
9.00 Mbits/sec   0.106 ms    0/ 7655 (0%)  3.808/ 3.480/ 7.417/ 0.174 ms  765 pps
7.00 Mbits/sec   0.179 ms    0/ 5954 (0%)  3.829/ 3.503/ 9.293/ 0.251 ms  595 pps
9.00 Mbits/sec   0.088 ms    0/ 7654 (0%)  3.808/ 3.515/ 7.361/ 0.146 ms  765 pps
8.00 Mbits/sec   0.170 ms    0/ 6804 (0%)  3.852/ 3.536/ 7.228/ 0.160 ms  680 pps
8.00 Mbits/sec   0.100 ms    0/ 6804 (0%)  3.950/ 3.574/11.162/ 0.256 ms  680 pps
6.00 Mbits/sec   0.133 ms    0/ 5103 (0%)  3.844/ 3.543/10.544/ 0.207 ms  510 pps
8.00 Mbits/sec   0.158 ms    0/ 6804 (0%)  3.845/ 3.549/ 6.393/ 0.137 ms  680 pps
8.00 Mbits/sec   0.150 ms    0/ 6804 (0%)  3.906/ 3.550/11.846/ 0.352 ms  680 pps
4.00 Mbits/sec   0.075 ms    0/ 3403 (0%)  3.862/ 3.549/ 7.152/ 0.169 ms  340 pps
9.00 Mbits/sec   0.145 ms    0/ 7655 (0%)  3.920/ 3.578/11.832/ 0.251 ms  765 pps
8.00 Mbits/sec   0.116 ms    0/ 6804 (0%)  3.876/ 3.560/14.460/ 0.274 ms  680 pps
