7.00 Mbits/sec   0.135 ms    0/ 5954 (0%) -6.296/-6.610/ 0.109/ 0.218 ms  595 pps
10.0 Mbits/sec   0.149 ms    0/ 8505 (0%) -6.278/-6.583/-4.577/ 0.152 ms  850 pps
5.00 Mbits/sec   0.099 ms    0/ 4253 (0%) -6.232/-6.540/-0.020/ 0.217 ms  425 pps
8.00 Mbits/sec   0.086 ms    0/ 6804 (0%) -6.179/-6.472/-3.789/ 0.155 ms  680 pps
10.0 Mbits/sec   0.113 ms    0/ 8505 (0%) -6.159/-6.446/-0.344/ 0.226 ms  850 pps
8.00 Mbits/sec   0.105 ms    0/ 6804 (0%) -6.074/-6.378/ 1.319/ 0.265 ms  680 pps
7.00 Mbits/sec   0.187 ms    0/ 5954 (0%) -6.020/-6.343/-3.071/ 0.157 ms  595 pps
8.00 Mbits/sec   0.109 ms    0/ 6804 (0%) -5.942/-6.246/ 4.451/ 0.258 ms  680 pps
7.00 Mbits/sec   0.107 ms    0/ 5954 (0%) -5.764/-6.085/-0.467/ 0.200 ms  595 pps
11.0 Mbits/sec   0.127 ms    0/ 9355 (0%) -5.635/-5.932/-1.394/ 0.152 ms  935 pps
9.00 Mbits/sec   0.251 ms    0/ 7655 (0%) -5.394/-5.685/ 4.305/ 0.252 ms  765 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%) -5.230/-5.564/ 1.409/ 0.230 ms  850 pps
9.00 Mbits/sec   0.151 ms    0/ 7655 (0%) -5.089/-5.393/ 1.135/ 0.186 ms  765 pps
8.00 Mbits/sec   0.125 ms    0/ 6804 (0%) -4.920/-5.221/-2.394/ 0.148 ms  680 pps
8.00 Mbits/sec   0.129 ms    0/ 6804 (0%) -4.813/-5.081/ 1.135/ 0.183 ms  680 pps
6.00 Mbits/sec   0.105 ms    0/ 5104 (0%) -4.660/-4.951/-0.800/ 0.163 ms  510 pps
3.00 Mbits/sec   0.096 ms    0/ 2552 (0%) -4.485/-4.714/ 1.028/ 0.172 ms  255 pps
8.00 Mbits/sec   0.092 ms    0/ 6804 (0%) -4.250/-4.558/ 1.073/ 0.194 ms  680 pps
8.00 Mbits/sec   0.152 ms    0/ 6804 (0%) -4.139/-4.409/-1.550/ 0.136 ms  680 pps
12.0 Mbits/sec   0.176 ms    0/10205 (0%) -3.928/-4.239/ 1.904/ 0.210 ms 1020 pps
8.00 Mbits/sec   0.120 ms    0/ 6804 (0%) -3.818/-4.102/ 3.376/ 0.197 ms  680 pps
8.00 Mbits/sec   0.138 ms    0/ 6804 (0%) -3.632/-3.946/ 0.640/ 0.176 ms  680 pps
5.00 Mbits/sec   0.127 ms    0/ 4253 (0%) -3.445/-3.718/-0.999/ 0.125 ms  425 pps
10.0 Mbits/sec   0.121 ms    0/ 8505 (0%) -3.304/-3.588/ 1.275/ 0.163 ms  850 pps
6.00 Mbits/sec   0.141 ms    0/ 5103 (0%) -3.252/-3.512/ 0.537/ 0.144 ms  510 pps
5.00 Mbits/sec   0.094 ms    0/ 4253 (0%) -3.216/-3.485/-0.868/ 0.127 ms  425 pps
8.00 Mbits/sec   0.145 ms    0/ 6804 (0%) -3.171/-3.417/-1.418/ 0.119 ms  680 pps
10.0 Mbits/sec   0.090 ms    0/ 8505 (0%) -3.151/-3.445/ 2.003/ 0.139 ms  850 pps
10.0 Mbits/sec   0.083 ms    0/ 8505 (0%) -3.118/-3.402/ 4.274/ 0.254 ms  850 pps
8.00 Mbits/sec   0.097 ms    0/ 6804 (0%) -3.068/-3.375/ 6.584/ 0.305 ms  680 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) -3.095/-3.343/ 0.624/ 0.138 ms  595 pps
8.00 Mbits/sec   0.106 ms    0/ 6804 (0%) -3.047/-3.347/ 2.738/ 0.163 ms  680 pps
6.00 Mbits/sec   0.142 ms    0/ 5104 (0%) -3.045/-3.310/ 2.042/ 0.151 ms  510 pps
9.00 Mbits/sec   0.114 ms    0/ 7654 (0%) -3.002/-3.292/ 7.173/ 0.260 ms  765 pps
9.00 Mbits/sec   0.120 ms    0/ 7654 (0%) -2.979/-3.250/ 2.442/ 0.158 ms  765 pps
8.00 Mbits/sec   0.091 ms    0/ 6804 (0%) -2.960/-3.243/ 2.779/ 0.196 ms  680 pps
7.00 Mbits/sec   0.110 ms    0/ 5954 (0%) -2.921/-3.201/ 0.989/ 0.129 ms  595 pps
9.00 Mbits/sec   0.127 ms    0/ 7655 (0%) -2.930/-3.198/ 1.266/ 0.138 ms  765 pps
10.0 Mbits/sec   0.094 ms    0/ 8505 (0%) -2.888/-3.162/ 4.296/ 0.202 ms  850 pps
9.00 Mbits/sec   0.135 ms    0/ 7654 (0%) -2.856/-3.136/ 1.978/ 0.135 ms  765 pps
7.00 Mbits/sec   0.149 ms    0/ 5954 (0%) -2.822/-3.106/ 6.786/ 0.247 ms  595 pps
6.00 Mbits/sec   0.119 ms    0/ 5103 (0%) -2.834/-3.103/ 5.085/ 0.221 ms  510 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%) -2.786/-3.046/-0.399/ 0.124 ms  680 pps
7.00 Mbits/sec   0.098 ms    0/ 5954 (0%) -2.761/-3.042/ 2.239/ 0.157 ms  595 pps
11.0 Mbits/sec   0.096 ms    0/ 9355 (0%) -2.735/-2.995/ 3.567/ 0.185 ms  935 pps
