11.0 Mbits/sec   0.108 ms    0/ 9355 (0%) 4888.251/4887.840/4897.366/50.541 ms  935 pps
7.00 Mbits/sec   0.112 ms    0/ 5954 (0%) 4888.889/4888.476/4893.605/63.364 ms  595 pps
5.00 Mbits/sec   0.111 ms    0/ 4253 (0%) 4889.269/4888.834/4893.852/74.978 ms  425 pps
10.0 Mbits/sec   0.137 ms    0/ 8505 (0%) 4889.652/4889.291/4894.633/53.026 ms  850 pps
6.00 Mbits/sec   0.104 ms    0/ 5104 (0%) 4890.103/4889.709/4894.414/68.456 ms  510 pps
7.00 Mbits/sec   0.112 ms    0/ 5954 (0%) 4890.501/4890.138/4894.657/63.387 ms  595 pps
4.00 Mbits/sec   0.105 ms    0/ 3403 (0%) 4890.926/4890.558/4896.733/83.851 ms  340 pps
7.00 Mbits/sec   0.142 ms    0/ 5954 (0%) 4891.572/4891.117/4896.081/63.396 ms  595 pps
9.00 Mbits/sec   0.158 ms    0/ 7655 (0%) 4891.967/4891.517/4898.035/55.914 ms  765 pps
8.00 Mbits/sec   0.197 ms    0/ 6804 (0%) 4892.357/4891.918/4896.477/59.312 ms  680 pps
13.0 Mbits/sec   0.136 ms    0/11056 (0%) 4892.748/4892.305/4901.571/46.534 ms 1105 pps
10.0 Mbits/sec   0.175 ms    0/ 8505 (0%) 4893.173/4892.748/4898.489/53.063 ms  850 pps
9.00 Mbits/sec   0.120 ms    0/ 7654 (0%) 4893.577/4893.153/4898.028/55.940 ms  765 pps
6.00 Mbits/sec   0.294 ms    0/ 5103 (0%) 4894.296/4893.882/4898.847/68.518 ms  510 pps
6.00 Mbits/sec   0.391 ms    0/ 5104 (0%) 4894.691/4894.258/4899.926/68.519 ms  510 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) 4895.114/4894.689/4900.794/53.082 ms  850 pps
8.00 Mbits/sec   0.146 ms    0/ 6804 (0%) 4895.482/4895.088/4903.739/59.354 ms  680 pps
11.0 Mbits/sec   0.120 ms    0/ 9355 (0%) 4895.865/4895.473/4900.806/50.618 ms  935 pps
8.00 Mbits/sec   0.128 ms    0/ 6804 (0%) 4896.292/4895.900/4902.581/59.359 ms  680 pps
10.0 Mbits/sec   0.154 ms    0/ 8505 (0%) 4896.995/4896.531/4902.976/53.101 ms  850 pps
9.00 Mbits/sec   0.223 ms    0/ 7654 (0%) 4897.366/4896.932/4901.365/55.981 ms  765 pps
8.00 Mbits/sec   0.162 ms    0/ 6804 (0%) 4897.787/4897.330/4904.576/59.379 ms  680 pps
9.00 Mbits/sec   0.143 ms    0/ 7654 (0%) 4898.114/4897.712/4903.776/55.991 ms  765 pps
6.00 Mbits/sec   0.115 ms    0/ 5103 (0%) 4898.606/4898.166/4904.430/68.580 ms  510 pps
8.00 Mbits/sec   0.221 ms    0/ 6804 (0%) 4899.034/4898.636/4903.941/59.396 ms  680 pps
9.00 Mbits/sec   0.114 ms    0/ 7655 (0%) 4899.703/4899.233/4903.235/56.003 ms  765 pps
7.00 Mbits/sec   0.212 ms    0/ 5954 (0%) 4900.057/4899.690/4905.281/63.509 ms  595 pps
10.0 Mbits/sec   0.202 ms    0/ 8505 (0%) 4900.506/4900.083/4906.008/53.161 ms  850 pps
8.00 Mbits/sec   0.111 ms    0/ 6804 (0%) 4900.883/4900.472/4906.917/59.422 ms  680 pps
12.0 Mbits/sec   0.113 ms    0/10204 (0%) 4901.346/4900.928/4909.644/48.532 ms 1020 pps
10.0 Mbits/sec   0.316 ms    0/ 8505 (0%) 4901.743/4901.320/4911.551/53.154 ms  850 pps
8.00 Mbits/sec   0.168 ms    0/ 6804 (0%) 4902.400/4901.965/4907.672/59.436 ms  680 pps
11.0 Mbits/sec   0.158 ms    0/ 9355 (0%) 4902.782/4902.352/4906.875/50.691 ms  935 pps
8.00 Mbits/sec   0.118 ms    0/ 6804 (0%) 4903.170/4902.837/4908.420/59.446 ms  680 pps
11.0 Mbits/sec   0.089 ms    0/ 9355 (0%) 4903.619/4903.213/4908.363/50.701 ms  935 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%) 4904.038/4903.617/4908.166/59.456 ms  680 pps
11.0 Mbits/sec   0.106 ms    0/ 9355 (0%) 4904.412/4904.012/4909.513/50.707 ms  935 pps
5.00 Mbits/sec   0.152 ms    0/ 4253 (0%) 4905.148/4904.791/4908.225/75.223 ms  425 pps
9.00 Mbits/sec   0.086 ms    0/ 7654 (0%) 4905.645/4905.148/4909.132/56.075 ms  765 pps
7.00 Mbits/sec   0.247 ms    0/ 5954 (0%) 4905.988/4905.593/4912.355/63.585 ms  595 pps
8.00 Mbits/sec   0.182 ms    0/ 6804 (0%) 4906.436/4905.975/4912.001/59.484 ms  680 pps
7.00 Mbits/sec   0.118 ms    0/ 5954 (0%) 4906.858/4906.438/4910.769/63.593 ms  595 pps
8.00 Mbits/sec   0.105 ms    0/ 6804 (0%) 4907.285/4906.870/4915.039/59.495 ms  680 pps
7.00 Mbits/sec   0.114 ms    0/ 5954 (0%) 4907.855/4907.490/4912.318/63.609 ms  595 pps
8.00 Mbits/sec   0.130 ms    0/ 6804 (0%) 4908.282/4907.859/4914.435/59.509 ms  680 pps
8.00 Mbits/sec   0.154 ms    0/ 6804 (0%) 4908.506/4908.158/4913.588/59.514 ms  680 pps
10.0 Mbits/sec   0.141 ms    0/ 8505 (0%) 4908.855/4908.406/4914.967/53.232 ms  850 pps
14.0 Mbits/sec   0.183 ms    0/11906 (0%) 4909.159/4908.738/4917.901/44.992 ms 1190 pps
10.0 Mbits/sec   0.096 ms    0/ 8505 (0%) 4909.521/4909.049/4917.546/53.237 ms  850 pps
11.0 Mbits/sec   0.323 ms    0/ 9355 (0%) 4909.865/4909.472/4914.814/50.765 ms  935 pps
5.00 Mbits/sec   0.169 ms    0/ 4253 (0%) 4910.191/4909.793/4915.957/75.300 ms  425 pps
8.00 Mbits/sec   0.151 ms    0/ 6804 (0%) 4910.465/4910.087/4916.275/59.535 ms  680 pps
9.00 Mbits/sec   0.139 ms    0/ 7654 (0%) 4910.792/4910.424/4916.221/56.132 ms  765 pps
11.0 Mbits/sec   0.134 ms    0/ 9355 (0%) 4911.051/4910.685/4915.532/50.780 ms  935 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%) 4911.378/4910.979/4916.100/56.137 ms  765 pps
6.00 Mbits/sec   0.169 ms    0/ 5103 (0%) 4911.848/4911.437/4916.387/68.768 ms  510 pps
8.00 Mbits/sec   0.153 ms    0/ 6804 (0%) 4912.101/4911.715/4917.975/59.556 ms  680 pps
11.0 Mbits/sec   0.119 ms    0/ 9355 (0%) 4912.426/4912.020/4920.967/50.793 ms  935 pps
7.00 Mbits/sec   0.114 ms    0/ 5954 (0%) 4912.696/4912.313/4917.506/63.671 ms  595 pps
9.00 Mbits/sec   0.106 ms    0/ 7654 (0%) 4912.962/4912.602/4919.601/56.163 ms  765 pps
7.00 Mbits/sec   0.112 ms    0/ 5954 (0%) 4913.293/4912.899/4918.965/63.680 ms  595 pps
8.00 Mbits/sec   0.131 ms    0/ 6804 (0%) 4913.741/4913.346/4925.841/59.571 ms  680 pps
9.00 Mbits/sec   0.167 ms    0/ 7654 (0%) 4914.012/4913.633/4917.739/56.170 ms  765 pps
5.00 Mbits/sec   0.204 ms    0/ 4253 (0%) 4914.324/4913.945/4918.481/75.361 ms  425 pps
9.00 Mbits/sec   0.176 ms    0/ 7654 (0%) 4914.628/4914.268/4920.087/56.177 ms  765 pps
11.0 Mbits/sec   0.254 ms    0/ 9355 (0%) 4914.967/4914.562/4919.342/50.819 ms  935 pps
9.00 Mbits/sec   0.105 ms    0/ 7655 (0%) 4915.302/4914.885/4920.984/56.184 ms  765 pps
10.0 Mbits/sec   0.286 ms    0/ 8505 (0%) 4915.691/4915.325/4921.322/53.304 ms  850 pps
10.0 Mbits/sec   0.128 ms    0/ 8505 (0%) 4916.000/4915.611/4921.204/53.308 ms  850 pps
9.00 Mbits/sec   0.145 ms    0/ 7654 (0%) 4916.273/4915.943/4920.036/56.196 ms  765 pps
9.00 Mbits/sec   0.127 ms    0/ 7654 (0%) 4916.651/4916.258/4920.745/56.202 ms  765 pps
11.0 Mbits/sec   0.197 ms    0/ 9355 (0%) 4916.960/4916.534/4923.742/50.839 ms  935 pps
9.00 Mbits/sec   0.124 ms    0/ 7655 (0%) 4917.237/4916.862/4921.408/56.203 ms  765 pps
10.0 Mbits/sec   0.145 ms    0/ 8505 (0%) 4917.675/4917.285/4921.627/53.326 ms  850 pps
7.00 Mbits/sec   0.103 ms    0/ 5954 (0%) 4917.949/4917.561/4921.463/63.738 ms  595 pps
7.00 Mbits/sec   0.117 ms    0/ 5954 (0%) 4918.280/4917.855/4921.690/63.745 ms  595 pps
8.00 Mbits/sec   0.129 ms    0/ 6804 (0%) 4918.563/4918.163/4922.576/59.636 ms  680 pps
4.00 Mbits/sec   0.178 ms    0/ 3403 (0%) 4918.857/4918.513/4922.899/84.331 ms  340 pps
8.00 Mbits/sec   0.155 ms    0/ 6804 (0%) 4919.127/4918.773/4924.591/59.639 ms  680 pps
12.0 Mbits/sec   0.138 ms    0/10206 (0%) 4919.644/4919.210/4924.193/48.700 ms 1020 pps
12.0 Mbits/sec   0.161 ms    0/10206 (0%) 4919.911/4919.528/4924.365/48.703 ms 1020 pps
8.00 Mbits/sec   0.190 ms    0/ 6804 (0%) 4920.262/4919.876/4924.862/59.654 ms  680 pps
10.0 Mbits/sec   0.291 ms    0/ 8505 (0%) 4920.521/4920.154/4924.659/53.357 ms  850 pps
8.00 Mbits/sec   0.156 ms    0/ 6804 (0%) 4920.892/4920.487/4926.126/59.662 ms  680 pps
7.00 Mbits/sec   0.110 ms    0/ 5954 (0%) 4921.154/4920.796/4925.096/63.781 ms  595 pps
10.0 Mbits/sec   0.102 ms    0/ 8505 (0%) 4921.681/4921.266/4925.195/53.370 ms  850 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) 4921.979/4921.590/4926.148/53.373 ms  850 pps
11.0 Mbits/sec   0.148 ms    0/ 9355 (0%) 4922.288/4921.876/4931.172/50.893 ms  935 pps
5.00 Mbits/sec   0.185 ms    0/ 4253 (0%) 4922.573/4922.194/4928.722/75.490 ms  425 pps
8.00 Mbits/sec   0.150 ms    0/ 6804 (0%) 4922.880/4922.497/4927.693/59.683 ms  680 pps
6.00 Mbits/sec   0.084 ms    0/ 5103 (0%) 4923.167/4922.830/4926.888/68.924 ms  510 pps
