8.00 Mbits/sec   0.162 ms    0/ 6803 (0%) 415.340/414.726/422.259/ 5.039 ms  680 pps
6.00 Mbits/sec   0.130 ms    0/ 5104 (0%) 416.509/415.853/419.703/ 5.832 ms  510 pps
11.0 Mbits/sec   0.098 ms    0/ 9355 (0%) 417.782/417.170/428.061/ 4.334 ms  935 pps
8.00 Mbits/sec   0.124 ms    0/ 6804 (0%) 419.031/418.447/424.085/ 5.084 ms  680 pps
8.00 Mbits/sec   0.110 ms    0/ 6804 (0%) 420.247/419.628/433.432/ 5.110 ms  680 pps
6.00 Mbits/sec   0.151 ms    0/ 5104 (0%) 422.098/421.482/425.437/ 5.911 ms  510 pps
8.00 Mbits/sec   0.104 ms    0/ 6804 (0%) 423.318/422.769/427.979/ 5.136 ms  680 pps
6.00 Mbits/sec   0.130 ms    0/ 5104 (0%) 424.525/423.996/430.030/ 5.944 ms  510 pps
8.00 Mbits/sec   0.128 ms    0/ 6804 (0%) 425.706/425.139/429.542/ 5.167 ms  680 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) 426.958/426.360/438.156/ 4.638 ms  850 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) 428.164/427.574/433.871/ 5.554 ms  595 pps
7.00 Mbits/sec   0.116 ms    0/ 5954 (0%) 430.079/429.495/438.801/ 5.577 ms  595 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) 431.310/430.637/439.266/ 4.683 ms  850 pps
12.0 Mbits/sec   0.123 ms    0/10205 (0%) 432.565/431.962/436.513/ 4.288 ms 1020 pps
10.0 Mbits/sec   0.137 ms    1/ 8505 (0.012%) 433.744/433.154/440.337/ 4.706 ms  850 pps
9.00 Mbits/sec   0.120 ms    0/ 7655 (0%) 435.044/434.439/440.761/ 4.980 ms  765 pps
10.0 Mbits/sec   0.075 ms    0/ 8505 (0%) 436.313/435.661/445.787/ 4.752 ms  850 pps
12.0 Mbits/sec   0.086 ms    0/10206 (0%) 438.069/437.477/441.710/ 4.341 ms 1020 pps
10.0 Mbits/sec   0.132 ms    0/ 8505 (0%) 439.255/438.645/441.079/ 4.765 ms  850 pps
7.00 Mbits/sec   0.136 ms    0/ 5954 (0%) 440.526/439.993/442.552/ 5.712 ms  595 pps
5.00 Mbits/sec   0.123 ms    0/ 4253 (0%) 441.890/441.267/447.441/ 6.777 ms  425 pps
10.0 Mbits/sec   0.184 ms    0/ 8505 (0%) 443.079/442.473/451.666/ 4.812 ms  850 pps
11.0 Mbits/sec   0.112 ms    0/ 9355 (0%) 444.312/443.692/451.121/ 4.598 ms  935 pps
7.00 Mbits/sec   0.214 ms    0/ 5952 (0%) 446.223/445.615/449.240/ 5.786 ms  595 pps
7.00 Mbits/sec   0.165 ms    0/ 5954 (0%) 447.437/446.870/448.435/ 5.802 ms  595 pps
9.00 Mbits/sec   0.160 ms    0/ 7655 (0%) 448.729/448.049/453.185/ 5.134 ms  765 pps
9.00 Mbits/sec   0.135 ms    0/ 7655 (0%) 449.982/449.386/454.801/ 5.146 ms  765 pps
11.0 Mbits/sec   0.135 ms    0/ 9355 (0%) 451.258/450.644/459.954/ 4.674 ms  935 pps
11.0 Mbits/sec   0.144 ms    0/ 9355 (0%) 452.543/451.953/463.349/ 4.698 ms  935 pps
9.00 Mbits/sec   0.137 ms    0/ 7655 (0%) 454.386/453.772/462.599/ 5.203 ms  765 pps
7.00 Mbits/sec   0.129 ms    0/ 5954 (0%) 455.538/454.957/459.243/ 5.909 ms  595 pps
9.00 Mbits/sec   0.120 ms    0/ 7655 (0%) 456.829/456.206/459.264/ 5.223 ms  765 pps
9.00 Mbits/sec   0.141 ms    0/ 7655 (0%) 458.025/457.380/460.928/ 5.237 ms  765 pps
6.00 Mbits/sec   0.120 ms    2/ 5104 (0.039%) 459.332/458.684/468.865/ 6.440 ms  509 pps
10.0 Mbits/sec   0.092 ms    0/ 8505 (0%) 460.461/459.863/464.702/ 4.997 ms  850 pps
9.00 Mbits/sec   0.190 ms    0/ 7655 (0%) 462.347/461.753/466.175/ 5.287 ms  765 pps
6.00 Mbits/sec   0.315 ms    0/ 5104 (0%) 463.587/462.961/469.653/ 6.489 ms  510 pps
9.00 Mbits/sec   0.176 ms    0/ 7655 (0%) 464.787/464.162/468.468/ 5.317 ms  765 pps
5.00 Mbits/sec   0.138 ms    0/ 4253 (0%) 466.062/465.478/470.054/ 7.146 ms  425 pps
8.00 Mbits/sec   0.119 ms    0/ 6804 (0%) 467.298/466.727/475.068/ 5.673 ms  680 pps
10.0 Mbits/sec   0.112 ms    0/ 8505 (0%) 468.616/468.026/476.738/ 5.095 ms  850 pps
10.0 Mbits/sec   0.116 ms    0/ 8505 (0%) 470.392/469.774/472.144/ 5.102 ms  850 pps
11.0 Mbits/sec   0.112 ms    0/ 9355 (0%) 471.596/471.005/474.345/ 4.880 ms  935 pps
10.0 Mbits/sec   0.130 ms    0/ 8505 (0%) 472.897/472.256/481.070/ 5.136 ms  850 pps
6.00 Mbits/sec   0.127 ms    0/ 5104 (0%) 474.025/473.426/479.144/ 6.637 ms  510 pps
11.0 Mbits/sec   0.143 ms    0/ 9355 (0%) 475.279/474.669/485.487/ 4.924 ms  935 pps
11.0 Mbits/sec   0.140 ms    0/ 9355 (0%) 476.546/475.898/485.690/ 4.946 ms  935 pps
13.0 Mbits/sec   0.192 ms    0/11056 (0%) 478.392/477.770/482.448/ 4.554 ms 1105 pps
9.00 Mbits/sec   0.161 ms    0/ 7655 (0%) 479.633/479.072/486.996/ 5.485 ms  765 pps
12.0 Mbits/sec   0.132 ms    0/10206 (0%) 480.814/480.222/483.844/ 4.763 ms 1020 pps
5.00 Mbits/sec   0.136 ms    0/ 4253 (0%) 482.129/481.494/485.420/ 7.393 ms  425 pps
13.0 Mbits/sec   0.165 ms    0/11056 (0%) 483.343/482.696/490.785/ 4.606 ms 1105 pps
11.0 Mbits/sec   0.098 ms    0/ 9355 (0%) 484.611/483.969/498.701/ 5.027 ms  935 pps
10.0 Mbits/sec   0.173 ms    0/ 8505 (0%) 486.444/485.832/490.098/ 5.277 ms  850 pps
7.00 Mbits/sec   0.113 ms    0/ 5954 (0%) 487.621/487.011/491.020/ 6.320 ms  595 pps
7.00 Mbits/sec   0.102 ms    0/ 5954 (0%) 488.863/488.298/491.198/ 6.334 ms  595 pps
9.00 Mbits/sec   0.090 ms    0/ 7655 (0%) 490.108/489.451/493.076/ 5.601 ms  765 pps
5.00 Mbits/sec   0.162 ms    0/ 4253 (0%) 491.445/490.835/494.362/ 7.535 ms  425 pps
8.00 Mbits/sec   0.179 ms    0/ 6804 (0%) 492.673/492.080/504.117/ 5.982 ms  680 pps
6.00 Mbits/sec   0.111 ms    0/ 5104 (0%) 494.566/493.893/497.456/ 6.923 ms  510 pps
9.00 Mbits/sec   0.114 ms    0/ 7655 (0%) 495.849/495.208/500.255/ 5.666 ms  765 pps
7.00 Mbits/sec   0.147 ms    0/ 5954 (0%) 497.083/496.493/499.286/ 6.442 ms  595 pps
6.00 Mbits/sec   0.111 ms    0/ 5104 (0%) 498.332/497.799/499.933/ 6.977 ms  510 pps
9.00 Mbits/sec   0.131 ms    0/ 7655 (0%) 499.635/499.030/503.950/ 5.711 ms  765 pps
9.00 Mbits/sec   0.128 ms    0/ 7655 (0%) 500.933/500.252/517.163/ 5.745 ms  765 pps
6.00 Mbits/sec   0.207 ms    0/ 5104 (0%) 502.872/502.223/506.665/ 7.037 ms  510 pps
8.00 Mbits/sec   0.205 ms    0/ 6804 (0%) 504.095/503.506/509.522/ 6.112 ms  680 pps
9.00 Mbits/sec   0.142 ms    0/ 7655 (0%) 505.377/504.758/508.496/ 5.779 ms  765 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%) 506.627/506.034/510.839/ 5.794 ms  765 pps
10.0 Mbits/sec   0.106 ms    0/ 8505 (0%) 507.904/507.285/510.132/ 5.508 ms  850 pps
11.0 Mbits/sec   0.121 ms    0/ 9355 (0%) 509.204/508.562/522.205/ 5.286 ms  935 pps
8.00 Mbits/sec   0.150 ms    0/ 6804 (0%) 511.378/510.824/520.664/ 6.207 ms  680 pps
