6.00 Mbits/sec   0.166 ms    0/ 5104 (0%) 5416.779/5416.157/5424.187/75.821 ms  510 pps
10.0 Mbits/sec   0.082 ms    0/ 8505 (0%) 5418.408/5417.740/5423.908/58.752 ms  850 pps
7.00 Mbits/sec   0.135 ms    0/ 5954 (0%) 5420.078/5419.387/5423.761/70.241 ms  595 pps
8.00 Mbits/sec   0.117 ms    0/ 6804 (0%) 5421.674/5421.021/5426.161/65.728 ms  680 pps
9.00 Mbits/sec   0.101 ms    0/ 7655 (0%) 5423.303/5422.629/5428.940/61.988 ms  765 pps
8.00 Mbits/sec   0.148 ms    0/ 6804 (0%) 5425.383/5424.651/5430.537/65.772 ms  680 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) 5427.749/5427.048/5431.750/70.343 ms  595 pps
11.0 Mbits/sec   0.116 ms    0/ 9355 (0%) 5429.361/5428.685/5439.911/56.133 ms  935 pps
8.00 Mbits/sec   0.117 ms    0/ 6804 (0%) 5430.896/5430.223/5435.731/65.840 ms  680 pps
3.00 Mbits/sec   0.111 ms    0/ 2553 (0%) 5432.599/5431.984/5434.850/107.531 ms  255 pps
9.99 Mbits/sec   0.111 ms    0/ 8499 (0%) 5434.156/5433.466/5439.289/58.944 ms  849 pps
4.00 Mbits/sec   0.146 ms    0/ 3403 (0%) 5435.765/5435.110/5439.527/93.187 ms  340 pps
7.00 Mbits/sec   0.131 ms    0/ 5954 (0%) 5438.172/5437.482/5441.124/70.478 ms  595 pps
6.00 Mbits/sec   0.122 ms    0/ 5104 (0%) 5439.760/5439.086/5443.980/76.144 ms  510 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) 5441.393/5440.745/5446.692/70.521 ms  595 pps
9.00 Mbits/sec   0.144 ms    0/ 7655 (0%) 5443.008/5442.344/5447.344/62.210 ms  765 pps
10.0 Mbits/sec   0.084 ms    0/ 8505 (0%) 5444.674/5444.000/5450.981/59.038 ms  849 pps
12.0 Mbits/sec   0.122 ms    0/10206 (0%) 5446.209/5445.520/5451.461/53.909 ms 1020 pps
7.00 Mbits/sec   0.163 ms    0/ 5954 (0%) 5448.654/5447.974/5453.074/70.614 ms  595 pps
4.00 Mbits/sec   0.133 ms    0/ 3403 (0%) 5450.231/5449.613/5454.662/93.441 ms  340 pps
8.00 Mbits/sec   0.125 ms    0/ 6804 (0%) 5451.854/5451.190/5455.851/66.097 ms  680 pps
6.00 Mbits/sec   0.148 ms    0/ 5104 (0%) 5453.535/5452.831/5460.460/76.335 ms  510 pps
8.00 Mbits/sec   0.122 ms    0/ 6804 (0%) 5455.063/5454.366/5459.017/66.131 ms  680 pps
7.00 Mbits/sec   0.153 ms    0/ 5954 (0%) 5456.640/5455.960/5460.475/70.718 ms  595 pps
8.00 Mbits/sec   0.167 ms    0/ 6804 (0%) 5459.045/5458.380/5464.029/66.183 ms  680 pps
12.0 Mbits/sec   0.113 ms    0/10206 (0%) 5460.622/5459.930/5468.788/54.053 ms 1020 pps
6.00 Mbits/sec   0.133 ms    0/ 5104 (0%) 5462.199/5461.486/5467.857/76.459 ms  510 pps
3.00 Mbits/sec   0.088 ms    0/ 2553 (0%) 5464.195/5463.569/5468.510/108.153 ms  255 pps
12.0 Mbits/sec   0.119 ms    0/10206 (0%) 5465.865/5465.191/5471.972/54.104 ms 1020 pps
9.00 Mbits/sec   0.143 ms    0/ 7655 (0%) 5467.477/5466.825/5472.050/62.490 ms  765 pps
