    0/ 3403 (0%) 5435.765/5435.110/5439.527/93.187 
    0/ 5954 (0%) 5438.172/5437.482/5441.124/70.478 
    0/ 5104 (0%) 5439.760/5439.086/5443.980/76.144 
    0/ 5954 (0%) 5441.393/5440.745/5446.692/70.521 
    0/ 7655 (0%) 5443.008/5442.344/5447.344/62.210 
    0/ 8505 (0%) 5444.674/5444.000/5450.981/59.038 
    0/10206 (0%) 5446.209/5445.520/5451.461/53.909 
    0/ 5954 (0%) 5448.654/5447.974/5453.074/70.614 
    0/ 3403 (0%) 5450.231/5449.613/5454.662/93.441 
    0/ 6804 (0%) 5451.854/5451.190/5455.851/66.097 
    0/ 5104 (0%) 5453.535/5452.831/5460.460/76.335 
    0/ 6804 (0%) 5455.063/5454.366/5459.017/66.131 
    0/ 5954 (0%) 5456.640/5455.960/5460.475/70.718 
    0/ 6804 (0%) 5459.045/5458.380/5464.029/66.183 
    0/10206 (0%) 5460.622/5459.930/5468.788/54.053 
    0/ 5104 (0%) 5462.199/5461.486/5467.857/76.459 
    0/ 2553 (0%) 5464.195/5463.569/5468.510/108.153 
    0/10206 (0%) 5465.865/5465.191/5471.972/54.104 
    0/ 7655 (0%) 5467.477/5466.825/5472.050/62.490 
