6.00 Mbits/sec   0.096 ms    0/ 5104 (0%) -494.931/-495.348/-493.138/ 6.933 ms  510 pps
3.00 Mbits/sec   0.075 ms    0/ 2553 (0%) -493.372/-493.735/-491.793/ 9.772 ms  255 pps
9.00 Mbits/sec   0.093 ms    0/ 7655 (0%) -492.320/-492.742/-490.861/ 5.631 ms  765 pps
9.00 Mbits/sec   0.068 ms    0/ 7655 (0%) -491.282/-491.730/-490.384/ 5.619 ms  765 pps
5.00 Mbits/sec   0.074 ms    0/ 4253 (0%) -490.334/-490.718/-489.874/ 7.525 ms  425 pps
7.00 Mbits/sec   0.094 ms    0/ 5954 (0%) -489.239/-489.675/-487.544/ 6.346 ms  595 pps
6.00 Mbits/sec   0.102 ms    0/ 5104 (0%) -488.234/-488.678/-486.202/ 6.840 ms  510 pps
9.00 Mbits/sec   0.050 ms    0/ 7655 (0%) -486.653/-487.098/-484.974/ 5.568 ms  765 pps
4.00 Mbits/sec   0.074 ms    0/ 3403 (0%) -485.661/-486.052/-484.326/ 8.330 ms  340 pps
9.00 Mbits/sec   0.097 ms    0/ 7655 (0%) -484.616/-485.047/-482.168/ 5.544 ms  765 pps
7.00 Mbits/sec   0.057 ms    0/ 5954 (0%) -483.565/-484.015/-481.965/ 6.273 ms  595 pps
8.00 Mbits/sec   0.069 ms    0/ 6804 (0%) -482.514/-482.969/-481.633/ 5.854 ms  680 pps
5.00 Mbits/sec   0.099 ms    0/ 4253 (0%) -481.510/-481.939/-480.739/ 7.391 ms  425 pps
8.00 Mbits/sec   0.095 ms    0/ 6804 (0%) -480.011/-480.455/-477.794/ 5.825 ms  680 pps
7.00 Mbits/sec   0.097 ms    0/ 5954 (0%) -479.000/-479.458/-478.498/ 6.214 ms  595 pps
10.0 Mbits/sec   0.055 ms    0/ 8505 (0%) -478.038/-478.471/-476.248/ 5.189 ms  850 pps
6.00 Mbits/sec   0.066 ms    0/ 5104 (0%) -477.012/-477.434/-475.631/ 6.685 ms  510 pps
9.00 Mbits/sec   0.085 ms    0/ 7655 (0%) -475.967/-476.419/-473.746/ 5.447 ms  765 pps
5.00 Mbits/sec   0.115 ms    0/ 4253 (0%) -474.964/-475.386/-473.164/ 7.290 ms  425 pps
8.00 Mbits/sec   0.087 ms    0/ 6804 (0%) -473.407/-473.865/-471.306/ 5.744 ms  680 pps
10.0 Mbits/sec   0.102 ms    0/ 8505 (0%) -472.427/-472.896/-468.734/ 5.129 ms  850 pps
3.00 Mbits/sec   0.103 ms    0/ 2553 (0%) -471.387/-471.786/-470.604/ 9.341 ms  255 pps
9.00 Mbits/sec   0.118 ms    0/ 7655 (0%) -470.359/-470.781/-468.335/ 5.381 ms  765 pps
6.00 Mbits/sec   0.119 ms    0/ 5104 (0%) -469.356/-469.788/-467.266/ 6.575 ms  510 pps
11.0 Mbits/sec   0.119 ms    0/ 9355 (0%) -468.258/-468.688/-465.797/ 4.847 ms  935 pps
