    0/ 5954 (0%) -416.259/-416.689/-415.095/ 5.402 
    0/ 6804 (0%) -415.280/-415.685/-413.253/ 5.040 
    0/ 5954 (0%) -414.264/-414.665/-412.783/ 5.374 
    0/ 5104 (0%) -412.823/-413.200/-411.761/ 5.784 
    0/10206 (0%) -411.787/-412.194/-408.247/ 4.082 
    0/ 2553 (0%) -410.718/-411.174/-410.235/ 8.133 
    3/ 7655 (0.039%) -409.668/-410.096/-408.098/ 4.687 
    0/ 6804 (0%) -408.619/-409.058/-406.261/ 4.957 
    0/ 8505 (0%) -407.594/-408.062/-404.170/ 4.426 
    0/ 3403 (0%) -406.100/-406.501/-405.625/ 6.967 
    0/ 7655 (0%) -405.008/-405.436/-401.310/ 4.637 
    0/ 7655 (0%) -403.909/-404.300/-402.154/ 4.623 
    0/ 7655 (0%) -402.908/-403.328/-399.856/ 4.612 
    0/ 6804 (0%) -401.814/-402.289/-400.400/ 4.878 
    0/ 7655 (0%) -400.753/-401.189/-399.121/ 4.587 
    0/ 8505 (0%) -399.224/-399.633/-397.907/ 4.335 
    0/ 5104 (0%) -398.198/-398.602/-396.108/ 5.581 
    0/ 8505 (0%) -397.191/-397.611/-395.797/ 4.313 
    0/ 4253 (0%) -396.187/-396.652/-395.508/ 6.081 
    0/ 5954 (0%) -395.211/-395.609/-394.115/ 5.128 
    0/ 8505 (0%) -394.097/-394.548/-393.039/ 4.279 
    0/ 5954 (0%) -392.564/-392.999/-391.147/ 5.096 
    0/ 4253 (0%) -391.560/-391.972/-390.105/ 6.011 
    0/ 5954 (0%) -390.575/-391.026/-388.601/ 5.068 
    1/ 8505 (0.012%) -389.550/-390.006/-387.932/ 4.230 
    0/ 5104 (0%) -388.514/-388.968/-387.330/ 5.445 
    0/ 4253 (0%) -387.528/-387.924/-386.082/ 5.950 
    0/ 6804 (0%) -385.971/-386.384/-384.307/ 4.685 
    0/ 5104 (0%) -384.907/-385.317/-384.035/ 5.396 
    0/ 6804 (0%) -383.864/-384.281/-381.937/ 4.657 
    0/ 5104 (0%) -382.820/-383.252/-381.598/ 5.365 
    0/ 6804 (0%) -381.750/-382.214/-380.000/ 4.633 
    0/ 6804 (0%) -380.674/-381.115/-378.834/ 4.621 
    0/ 2553 (0%) -379.156/-379.552/-378.713/ 7.511 
    0/ 5954 (0%) -378.068/-378.479/-375.471/ 4.908 
    0/ 7655 (0%) -377.098/-377.545/-375.829/ 4.317 
    0/ 6804 (0%) -376.119/-376.564/-374.129/ 4.567 
    0/ 6804 (0%) -375.045/-375.529/-372.034/ 4.554 
    0/ 5104 (0%) -374.067/-374.520/-371.392/ 5.244 
    0/ 4253 (0%) -372.547/-372.951/-371.364/ 5.719 
    0/ 5954 (0%) -371.431/-371.857/-369.548/ 4.821 
    0/ 6804 (0%) -370.419/-370.866/-368.702/ 4.497 
    0/ 5104 (0%) -369.347/-369.805/-368.368/ 5.176 
    1/ 5104 (0.02%) -368.349/-368.803/-365.434/ 5.162 
    0/ 8505 (0%) -367.345/-367.809/-365.394/ 3.990 
    0/ 5104 (0%) -365.860/-366.264/-364.527/ 5.127 
    0/ 7655 (0%) -364.831/-365.290/-362.691/ 4.178 
    0/ 3403 (0%) -363.779/-364.192/-362.023/ 6.241 
    1/ 5954 (0.017%) -362.682/-363.133/-361.582/ 4.705 
    0/ 3403 (0%) -361.656/-362.107/-361.211/ 6.208 
    0/ 4253 (0%) -360.674/-361.133/-358.406/ 5.537 
    0/ 7655 (0%) -359.131/-359.540/-357.568/ 4.109 
    0/ 5954 (0%) -358.089/-358.534/-355.812/ 4.650 
    0/ 6804 (0%) -357.069/-357.512/-356.078/ 4.335 
    0/ 5954 (0%) -356.003/-356.423/-354.555/ 4.620 
    0/ 5954 (0%) -354.926/-355.363/-352.472/ 4.607 
    0/ 7655 (0%) -353.917/-354.353/-352.650/ 4.051 
