6.00 Mbits/sec   0.109 ms    0/ 5103 (0%) 15.209/14.889/22.229/ 0.321 ms  510 pps
6.00 Mbits/sec   0.056 ms    0/ 5103 (0%) 15.232/14.943/19.229/ 0.282 ms  510 pps
9.00 Mbits/sec   0.131 ms    0/ 7654 (0%) 15.331/15.014/27.275/ 0.371 ms  765 pps
9.00 Mbits/sec   0.125 ms    0/ 7654 (0%) 15.434/15.119/21.500/ 0.275 ms  765 pps
10.0 Mbits/sec   0.186 ms    0/ 8505 (0%) 15.555/15.216/20.793/ 0.288 ms  850 pps
11.0 Mbits/sec   0.116 ms    0/ 9355 (0%) 15.610/15.299/20.454/ 0.249 ms  935 pps
10.0 Mbits/sec   0.153 ms    0/ 8505 (0%) 15.682/15.384/20.496/ 0.264 ms  850 pps
8.00 Mbits/sec   0.329 ms    0/ 6804 (0%) 15.831/15.449/24.101/ 0.409 ms  680 pps
6.00 Mbits/sec   0.133 ms    0/ 5103 (0%) 15.853/15.544/21.436/ 0.302 ms  510 pps
8.00 Mbits/sec   0.079 ms    0/ 6804 (0%) 15.914/15.620/22.211/ 0.318 ms  680 pps
11.0 Mbits/sec   0.092 ms    0/ 9355 (0%) 16.032/15.715/22.604/ 0.279 ms  935 pps
8.00 Mbits/sec   0.084 ms    0/ 6804 (0%) 16.091/15.789/19.579/ 0.244 ms  680 pps
12.0 Mbits/sec   0.096 ms    0/10205 (0%) 16.197/15.850/23.994/ 0.322 ms 1020 pps
5.00 Mbits/sec   0.137 ms    0/ 4253 (0%) 16.266/15.937/21.464/ 0.318 ms  425 pps
9.00 Mbits/sec   0.145 ms    0/ 7654 (0%) 16.350/16.047/25.975/ 0.357 ms  765 pps
7.00 Mbits/sec   0.140 ms    0/ 5954 (0%) 16.459/16.097/21.406/ 0.294 ms  595 pps
6.00 Mbits/sec   0.120 ms    0/ 5103 (0%) 16.516/16.225/18.810/ 0.268 ms  510 pps
7.00 Mbits/sec   0.457 ms    0/ 5954 (0%) 16.673/16.297/23.436/ 0.410 ms  595 pps
9.00 Mbits/sec   0.101 ms    0/ 7654 (0%) 16.719/16.366/25.167/ 0.445 ms  765 pps
7.00 Mbits/sec   0.131 ms    0/ 5954 (0%) 16.724/16.432/24.303/ 0.293 ms  595 pps
