7.00 Mbits/sec   0.123 ms    0/ 5954 (0%) 12.728/12.544/17.923/ 0.236 ms  595 pps
12.9 Mbits/sec   3.198 ms    0/11054 (0%) 44.770/12.570/166.055/26.053 ms 1098 pps
9.70 Mbits/sec   5.677 ms    0/ 8303 (0%) 74.239/12.565/193.977/28.664 ms  824 pps
9.26 Mbits/sec   5.501 ms    0/ 7947 (0%) 73.292/12.550/192.498/30.088 ms  787 pps
7.01 Mbits/sec   0.118 ms    0/ 5954 (0%) 52.012/12.540/144.587/40.525 ms  596 pps
7.01 Mbits/sec   0.109 ms    0/ 5954 (0%) 51.014/12.461/138.043/36.484 ms  595 pps
7.00 Mbits/sec   0.073 ms    0/ 5954 (0%) 12.503/12.338/17.940/ 0.215 ms  595 pps
10.1 Mbits/sec   1.974 ms    0/ 8654 (0%) 49.787/12.372/192.248/35.798 ms  862 pps
9.11 Mbits/sec   2.490 ms    0/ 7769 (0%) 72.461/25.099/193.976/32.973 ms  774 pps
9.48 Mbits/sec   5.042 ms    0/ 8133 (0%) 78.010/12.216/196.482/34.077 ms  806 pps
9.01 Mbits/sec   0.107 ms    0/ 7654 (0%) 81.983/12.172/192.708/28.126 ms  766 pps
8.01 Mbits/sec   0.051 ms    0/ 6804 (0%) 43.168/12.022/134.668/32.566 ms  681 pps
10.0 Mbits/sec   0.140 ms    0/ 8505 (0%) 12.113/11.916/19.079/ 0.231 ms  850 pps
9.97 Mbits/sec   1.434 ms    0/ 8505 (0%) 73.559/13.143/155.919/25.947 ms  848 pps
9.53 Mbits/sec   4.366 ms    0/ 8159 (0%) 69.291/14.410/173.131/30.214 ms  810 pps
10.5 Mbits/sec   3.888 ms    0/ 8996 (0%) 60.052/11.774/173.820/30.598 ms  893 pps
8.94 Mbits/sec   2.082 ms    0/ 7654 (0%) 66.557/11.705/130.721/34.412 ms  760 pps
9.96 Mbits/sec   1.174 ms    0/ 8505 (0%) 39.136/11.715/120.899/25.364 ms  846 pps
8.00 Mbits/sec   0.104 ms    0/ 6804 (0%) 11.728/11.517/17.441/ 0.284 ms  680 pps
10.0 Mbits/sec   0.073 ms    0/ 8505 (0%) 50.284/11.496/192.791/33.778 ms  850 pps
9.21 Mbits/sec   7.415 ms    0/ 7919 (0%) 47.454/11.453/190.023/36.159 ms  782 pps
9.38 Mbits/sec   2.430 ms    0/ 8014 (0%) 55.653/11.814/159.303/35.511 ms  797 pps
6.95 Mbits/sec   1.411 ms    0/ 5954 (0%) 37.160/11.327/128.624/29.140 ms  590 pps
9.72 Mbits/sec   7.996 ms    0/ 8363 (0%) 29.289/11.247/188.795/23.192 ms  826 pps
9.01 Mbits/sec   0.076 ms    0/ 7654 (0%) 14.001/11.132/27.458/ 5.249 ms  766 pps
7.95 Mbits/sec   1.994 ms    0/ 6804 (0%) 60.845/11.095/123.506/34.966 ms  675 pps
8.34 Mbits/sec   2.829 ms    0/ 7127 (0%) 49.662/11.085/180.133/38.326 ms  709 pps
8.97 Mbits/sec   1.414 ms    0/ 7654 (0%) 81.132/11.078/149.575/31.171 ms  762 pps
8.87 Mbits/sec   4.663 ms    0/ 7592 (0%) 76.480/11.043/164.651/26.201 ms  754 pps
7.95 Mbits/sec   2.008 ms    0/ 6804 (0%) 39.968/10.862/129.545/32.811 ms  675 pps
9.01 Mbits/sec   0.087 ms    0/ 7654 (0%) 11.695/10.752/25.946/ 3.030 ms  766 pps
11.5 Mbits/sec   1.018 ms    0/ 9775 (0%) 62.642/14.368/151.742/23.540 ms  974 pps
7.99 Mbits/sec   0.450 ms    0/ 6804 (0%) 22.648/10.679/28.513/ 3.895 ms  679 pps
9.99 Mbits/sec   0.139 ms    0/ 8505 (0%) 61.180/10.602/154.682/29.377 ms  849 pps
4.99 Mbits/sec   0.168 ms    0/ 4253 (0%) 22.245/10.587/28.905/ 4.025 ms  424 pps
11.0 Mbits/sec   0.259 ms    0/ 9355 (0%) 53.807/10.498/134.891/29.473 ms  934 pps
8.00 Mbits/sec   0.076 ms    0/ 6804 (0%) 10.581/10.427/19.480/ 0.264 ms  680 pps
9.99 Mbits/sec   0.200 ms    0/ 8505 (0%) 56.021/10.411/107.602/28.064 ms  849 pps
8.99 Mbits/sec   0.174 ms    0/ 7654 (0%) 54.516/10.332/97.861/29.021 ms  764 pps
10.9 Mbits/sec   2.166 ms    0/ 9299 (0%) 58.980/10.319/151.472/32.528 ms  925 pps
9.99 Mbits/sec   0.148 ms    0/ 8505 (0%) 62.980/10.273/106.505/26.719 ms  849 pps
12.0 Mbits/sec   0.238 ms    0/10205 (0%) 57.188/10.180/150.682/27.163 ms 1018 pps
9.01 Mbits/sec   0.108 ms    0/ 7654 (0%) 12.005/10.112/23.762/ 4.367 ms  766 pps
6.99 Mbits/sec   0.229 ms    0/ 5954 (0%) 19.887/10.079/40.671/ 6.238 ms  594 pps
11.5 Mbits/sec   2.142 ms    0/ 9858 (0%) 42.537/10.032/152.436/32.253 ms  981 pps
9.88 Mbits/sec   3.779 ms    0/ 8485 (0%) 26.487/ 9.980/133.952/19.566 ms  840 pps
9.93 Mbits/sec   1.865 ms    0/ 8505 (0%) 48.391/ 9.920/117.003/35.107 ms  844 pps
11.0 Mbits/sec   0.168 ms    0/ 9355 (0%) 15.839/ 9.892/27.173/ 6.442 ms  934 pps
