3.24 Mbits/sec   0.014 ms    0/ 2758 (0%)
7.30 Mbits/sec   0.026 ms    0/ 6208 (0%)
2.70 Mbits/sec   0.041 ms    0/ 2300 (0%)
9.00 Mbits/sec   0.031 ms    0/ 7657 (0%)
3.41 Mbits/sec   0.034 ms    0/ 2898 (0%)
8.06 Mbits/sec   0.020 ms    0/ 6854 (0%)
4.81 Mbits/sec   0.028 ms    1/ 4090 (0.024%)
5.87 Mbits/sec   0.019 ms    0/ 4991 (0%)
4.70 Mbits/sec   0.025 ms    0/ 3996 (0%)
5.74 Mbits/sec   0.020 ms    0/ 4886 (0%)
8.45 Mbits/sec   0.025 ms    0/ 7184 (0%)
5.23 Mbits/sec   0.024 ms    0/ 4451 (0%)
5.66 Mbits/sec   0.021 ms    0/ 4810 (0%)
2.59 Mbits/sec   0.028 ms    0/ 2205 (0%)
4.15 Mbits/sec   0.028 ms    0/ 3529 (0%)
5.86 Mbits/sec   0.023 ms    0/ 4981 (0%)
4.94 Mbits/sec   0.020 ms    0/ 4199 (0%)
3.98 Mbits/sec   0.029 ms    0/ 3381 (0%)
5.02 Mbits/sec   0.022 ms    0/ 4272 (0%)
4.51 Mbits/sec   0.032 ms    0/ 3838 (0%)
4.69 Mbits/sec   0.033 ms    0/ 3988 (0%)
4.92 Mbits/sec   0.022 ms    0/ 4183 (0%)
6.29 Mbits/sec   0.025 ms    0/ 5351 (0%)
5.44 Mbits/sec   0.017 ms    0/ 4628 (0%)
7.79 Mbits/sec   0.034 ms    0/ 6627 (0%)
6.42 Mbits/sec   0.029 ms    0/ 5462 (0%)
4.92 Mbits/sec   0.017 ms    0/ 4186 (0%)
5.66 Mbits/sec   0.029 ms    0/ 4813 (0%)
3.99 Mbits/sec   0.020 ms    0/ 3394 (0%)
7.10 Mbits/sec   0.038 ms    0/ 6039 (0%)
2.63 Mbits/sec   0.018 ms    0/ 2237 (0%)
5.90 Mbits/sec   0.015 ms    0/ 5021 (0%)
5.79 Mbits/sec   0.051 ms    0/ 4922 (0%)
8.32 Mbits/sec   0.024 ms    0/ 7078 (0%)
2.94 Mbits/sec   0.015 ms    0/ 2503 (0%)
4.27 Mbits/sec   0.035 ms    0/ 3629 (0%)
5.79 Mbits/sec   0.033 ms    0/ 4922 (0%)
6.90 Mbits/sec   0.026 ms    0/ 5869 (0%)
6.75 Mbits/sec   0.018 ms    0/ 5738 (0%)
4.72 Mbits/sec   0.024 ms    0/ 4012 (0%)
4.12 Mbits/sec   0.031 ms    0/ 3502 (0%)
5.47 Mbits/sec   0.030 ms    0/ 4652 (0%)
6.56 Mbits/sec   0.023 ms    0/ 5575 (0%)
6.20 Mbits/sec   0.028 ms    0/ 5269 (0%)
7.41 Mbits/sec   0.037 ms    0/ 6306 (0%)
4.84 Mbits/sec   0.033 ms    0/ 4114 (0%)
3.88 Mbits/sec   0.017 ms    0/ 3301 (0%)
5.51 Mbits/sec   0.025 ms    0/ 4682 (0%)
5.63 Mbits/sec   0.021 ms    0/ 4792 (0%)
7.56 Mbits/sec   0.026 ms    0/ 6431 (0%)
5.47 Mbits/sec   0.024 ms    0/ 4649 (0%)
5.21 Mbits/sec   0.037 ms    0/ 4431 (0%)
6.34 Mbits/sec   0.022 ms    0/ 5388 (0%)
7.25 Mbits/sec   0.030 ms    0/ 6170 (0%)
6.21 Mbits/sec   0.024 ms    0/ 5280 (0%)
6.45 Mbits/sec   0.031 ms    0/ 5483 (0%)
5.13 Mbits/sec   0.009 ms    0/ 4360 (0%)
2.85 Mbits/sec   0.011 ms    0/ 2423 (0%)
