    0/ 8505 (0%)  2.183/ 1.887/ 7.417/ 0.153 
    0/ 6804 (0%)  2.141/ 1.863/ 8.654/ 0.226 
    0/ 5954 (0%)  2.149/ 1.830/10.535/ 0.364 
    0/ 7654 (0%)  2.086/ 1.828/ 6.950/ 0.152 
    0/ 5954 (0%)  2.053/ 1.794/ 5.094/ 0.142 
    0/ 9355 (0%)  2.035/ 1.760/11.066/ 0.253 
    0/11056 (0%)  2.010/ 1.741/ 7.245/ 0.177 
    0/ 9355 (0%)  1.984/ 1.712/ 7.034/ 0.157 
    0/ 8505 (0%)  2.055/ 1.691/16.652/ 0.558 
    0/ 9355 (0%)  1.932/ 1.673/ 9.188/ 0.236 
    0/ 7654 (0%)  1.947/ 1.654/ 9.047/ 0.198 
    0/ 8505 (0%)  1.892/ 1.631/11.514/ 0.319 
    0/ 8505 (0%)  1.869/ 1.610/ 7.961/ 0.204 
    0/ 7654 (0%)  1.852/ 1.572/ 9.922/ 0.210 
    0/10205 (0%)  1.868/ 1.553/10.193/ 0.395 
    0/ 8505 (0%)  1.821/ 1.553/ 9.148/ 0.217 
    0/10205 (0%)  1.788/ 1.504/10.703/ 0.284 
    0/ 5954 (0%)  1.750/ 1.491/ 5.135/ 0.115 
    0/ 8505 (0%)  1.753/ 1.463/ 6.133/ 0.181 
    0/ 7654 (0%)  1.769/ 1.452/ 9.310/ 0.336 
    0/ 7654 (0%)  1.759/ 1.433/10.812/ 0.460 
    0/ 8505 (0%)  1.701/ 1.394/ 5.830/ 0.149 
    0/ 5954 (0%)  1.687/ 1.376/ 5.686/ 0.219 
    0/ 8505 (0%)  1.634/ 1.356/ 7.421/ 0.177 
    0/10205 (0%)  1.615/ 1.338/ 7.626/ 0.213 
    0/11056 (0%)  1.553/ 1.305/ 7.199/ 0.170 
    0/ 9355 (0%)  1.609/ 1.288/20.935/ 0.625 
    0/ 9355 (0%)  1.551/ 1.274/ 7.228/ 0.206 
    0/ 8505 (0%)  1.539/ 1.257/ 8.921/ 0.293 
    0/ 5103 (0%)  1.495/ 1.239/ 4.821/ 0.147 
    0/ 7654 (0%)  1.480/ 1.216/ 9.382/ 0.275 
    0/11055 (0%)  1.520/ 1.172/ 9.126/ 0.224 
    0/ 9355 (0%)  1.507/ 1.183/11.225/ 0.411 
    0/ 3403 (0%)  1.421/ 1.180/ 9.360/ 0.195 
    0/10205 (0%)  1.425/ 1.144/ 7.579/ 0.176 
    0/ 5103 (0%)  1.397/ 1.121/ 5.067/ 0.120 
