10.0 Mbits/sec   0.606 ms    0/ 8552 (0%) 69.806/ 5.575/174.197/30.014 ms  853 pps
10.1 Mbits/sec   1.356 ms    0/ 8534 (0%) 74.656/35.539/158.762/22.856 ms  856 pps
6.63 Mbits/sec   9.962 ms    0/ 5696 (0%) 80.528/ 5.534/220.078/40.971 ms  563 pps
7.93 Mbits/sec   3.541 ms    0/ 6787 (0%) 76.844/ 5.529/166.565/34.942 ms  673 pps
8.85 Mbits/sec   3.987 ms    0/ 7592 (0%) 65.303/ 5.555/190.106/37.592 ms  752 pps
7.95 Mbits/sec   0.845 ms    0/ 6804 (0%) 86.514/ 5.576/123.396/34.407 ms  676 pps
7.87 Mbits/sec   5.161 ms    0/ 6747 (0%) 70.450/ 5.542/177.864/41.334 ms  669 pps
8.55 Mbits/sec   1.060 ms    0/ 7291 (0%) 70.337/ 5.644/197.379/38.468 ms  726 pps
9.99 Mbits/sec   0.213 ms    0/ 8505 (0%) 70.772/ 5.599/193.115/36.216 ms  849 pps
6.00 Mbits/sec   0.451 ms    0/ 5103 (0%) 21.288/ 5.621/67.682/10.803 ms  509 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%) 47.180/ 5.564/173.759/36.621 ms  850 pps
6.98 Mbits/sec   2.050 ms    0/ 5954 (0%) 77.469/ 5.600/120.103/29.427 ms  593 pps
8.99 Mbits/sec   0.145 ms    0/ 7654 (0%) 55.653/ 5.752/171.865/36.602 ms  764 pps
8.28 Mbits/sec   3.780 ms    0/ 7103 (0%) 72.887/ 5.643/185.450/34.654 ms  704 pps
8.96 Mbits/sec   8.028 ms    0/ 7707 (0%) 60.956/ 5.591/168.368/38.813 ms  762 pps
7.99 Mbits/sec   0.200 ms    0/ 6804 (0%) 34.652/ 5.632/187.168/31.413 ms  679 pps
10.0 Mbits/sec   0.342 ms    0/ 8505 (0%)  6.187/ 5.599/16.514/ 1.204 ms  850 pps
9.51 Mbits/sec   1.549 ms    0/ 8123 (0%) 47.047/ 5.631/178.650/40.671 ms  808 pps
6.99 Mbits/sec   0.181 ms    0/ 5954 (0%) 60.467/ 5.643/117.698/32.031 ms  594 pps
11.4 Mbits/sec   0.926 ms    0/ 9768 (0%) 56.485/ 5.648/151.189/33.021 ms  973 pps
10.1 Mbits/sec   0.360 ms    0/ 8582 (0%) 64.160/ 5.617/172.793/31.053 ms  855 pps
