12.0 Mbits/sec   0.108 ms    0/10205 (0%) -/-/-/- ms 1020 pps
10.0 Mbits/sec   0.106 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.089 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.113 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
8.00 Mbits/sec   0.084 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
11.0 Mbits/sec   0.353 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
10.0 Mbits/sec   0.153 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.090 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.105 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.087 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.108 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
10.0 Mbits/sec   0.103 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.088 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.115 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.083 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.119 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.091 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.114 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.172 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.127 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
11.0 Mbits/sec   0.190 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
