8.00 Mbits/sec   0.103 ms    0/ 6804 (0%) -8.694/-8.986/-2.183/ 0.208 ms  680 pps
6.00 Mbits/sec   0.106 ms    0/ 5103 (0%) -8.759/-9.031/-6.578/ 0.196 ms  510 pps
10.0 Mbits/sec   0.143 ms    0/ 8505 (0%) -8.820/-9.096/-3.198/ 0.234 ms  850 pps
10.0 Mbits/sec   0.123 ms    0/ 8505 (0%) -8.809/-9.129/-1.317/ 0.307 ms  850 pps
10.0 Mbits/sec   0.083 ms    0/ 8505 (0%) -8.892/-9.176/ 0.546/ 0.250 ms  850 pps
10.0 Mbits/sec   0.104 ms    0/ 8505 (0%) -8.933/-9.233/-4.899/ 0.197 ms  850 pps
11.0 Mbits/sec   0.108 ms    0/ 9355 (0%) -9.019/-9.289/-7.144/ 0.155 ms  935 pps
8.00 Mbits/sec   0.150 ms    0/ 6804 (0%) -8.977/-9.332/ 0.908/ 0.449 ms  680 pps
3.00 Mbits/sec   0.108 ms    0/ 2552 (0%) -9.132/-9.380/-8.004/ 0.207 ms  255 pps
9.00 Mbits/sec   0.103 ms    0/ 7654 (0%) -9.131/-9.420/-1.263/ 0.258 ms  765 pps
8.00 Mbits/sec   0.129 ms    0/ 6804 (0%) -9.152/-9.457/-5.276/ 0.263 ms  680 pps
3.00 Mbits/sec   0.084 ms    0/ 2552 (0%) -9.191/-9.526/-5.209/ 0.239 ms  255 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%) -9.227/-9.552/-1.356/ 0.308 ms  765 pps
8.00 Mbits/sec   0.137 ms    0/ 6804 (0%) -9.261/-9.560/ 4.248/ 0.368 ms  680 pps
8.00 Mbits/sec   0.138 ms    0/ 6804 (0%) -9.386/-9.668/-4.211/ 0.210 ms  680 pps
8.00 Mbits/sec   0.104 ms    0/ 6804 (0%) -9.361/-9.670/-5.323/ 0.208 ms  680 pps
9.00 Mbits/sec   0.083 ms    0/ 7655 (0%) -9.438/-9.743/-0.957/ 0.267 ms  765 pps
10.0 Mbits/sec   0.117 ms    0/ 8505 (0%) -9.461/-9.783/-0.179/ 0.258 ms  850 pps
9.00 Mbits/sec   0.115 ms    0/ 7654 (0%) -9.536/-9.831/-3.900/ 0.223 ms  765 pps
10.0 Mbits/sec   0.138 ms    0/ 8505 (0%) -9.586/-9.892/-5.899/ 0.169 ms  850 pps
9.00 Mbits/sec   0.093 ms    0/ 7654 (0%) -9.630/-9.939/-7.449/ 0.186 ms  765 pps
9.00 Mbits/sec   0.121 ms    0/ 7654 (0%) -9.655/-9.970/-3.335/ 0.251 ms  765 pps
4.00 Mbits/sec   0.098 ms    0/ 3403 (0%) -9.713/-9.973/-8.810/ 0.194 ms  340 pps
12.0 Mbits/sec   0.112 ms    0/10205 (0%) -9.775/-10.074/-4.617/ 0.211 ms 1020 pps
9.00 Mbits/sec   0.112 ms    0/ 7654 (0%) -9.846/-10.106/-4.123/ 0.258 ms  765 pps
8.00 Mbits/sec   0.120 ms    0/ 6804 (0%) -9.848/-10.145/-6.142/ 0.211 ms  680 pps
7.00 Mbits/sec   0.143 ms    0/ 5954 (0%) -9.924/-10.220/-6.204/ 0.202 ms  595 pps
7.00 Mbits/sec   0.150 ms    0/ 5954 (0%) -9.927/-10.230/-7.938/ 0.188 ms  595 pps
10.0 Mbits/sec   0.108 ms    0/ 8505 (0%) -9.910/-10.264/-5.100/ 0.279 ms  850 pps
11.0 Mbits/sec   0.103 ms    0/ 9355 (0%) -10.007/-10.279/-6.361/ 0.187 ms  935 pps
9.00 Mbits/sec   0.131 ms    0/ 7655 (0%) -9.948/-10.277/ 4.850/ 0.494 ms  765 pps
10.0 Mbits/sec   0.103 ms    0/ 8505 (0%) -9.958/-10.262/-4.855/ 0.214 ms  850 pps
9.00 Mbits/sec   0.124 ms    0/ 7655 (0%) -9.961/-10.240/-0.505/ 0.282 ms  765 pps
11.0 Mbits/sec   0.161 ms    0/ 9355 (0%) -9.930/-10.248/-3.750/ 0.264 ms  935 pps
10.0 Mbits/sec   0.069 ms    0/ 8505 (0%) -9.946/-10.217/-5.939/ 0.161 ms  850 pps
9.00 Mbits/sec   0.110 ms    0/ 7654 (0%) -9.894/-10.214/-2.511/ 0.319 ms  765 pps
10.0 Mbits/sec   0.093 ms    0/ 8505 (0%) -9.764/-10.199/13.112/ 0.924 ms  850 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%) -9.926/-10.190/-2.786/ 0.240 ms  680 pps
5.00 Mbits/sec   0.194 ms    0/ 4253 (0%) -9.838/-10.160/-4.293/ 0.372 ms  425 pps
7.00 Mbits/sec   0.074 ms    0/ 5954 (0%) -9.857/-10.150/-5.699/ 0.198 ms  595 pps
9.00 Mbits/sec   0.125 ms    0/ 7655 (0%) -9.840/-10.150/-3.912/ 0.197 ms  765 pps
6.00 Mbits/sec   0.146 ms    0/ 5103 (0%) -9.789/-10.105/-0.861/ 0.298 ms  510 pps
10.0 Mbits/sec   0.101 ms    0/ 8505 (0%) -9.797/-10.122/-1.502/ 0.479 ms  850 pps
10.0 Mbits/sec   0.103 ms    0/ 8505 (0%) -9.815/-10.119/ 4.312/ 0.414 ms  850 pps
8.00 Mbits/sec   0.120 ms    0/ 6804 (0%) -9.763/-10.081/-4.220/ 0.296 ms  680 pps
5.00 Mbits/sec   0.115 ms    0/ 4253 (0%) -9.773/-10.065/-5.319/ 0.292 ms  425 pps
9.00 Mbits/sec   0.192 ms    0/ 7655 (0%) -9.772/-10.074/-4.109/ 0.215 ms  765 pps
9.00 Mbits/sec   0.154 ms    0/ 7654 (0%) -9.776/-10.041/-3.076/ 0.206 ms  765 pps
13.0 Mbits/sec   0.538 ms    0/11056 (0%) -9.760/-10.043/-1.650/ 0.278 ms 1105 pps
8.00 Mbits/sec   0.112 ms    0/ 6804 (0%) -9.685/-9.998/-5.023/ 0.221 ms  680 pps
7.00 Mbits/sec   0.259 ms    0/ 5954 (0%) -9.718/-10.012/-5.226/ 0.225 ms  595 pps
9.00 Mbits/sec   0.166 ms    0/ 7654 (0%) -9.733/-9.984/-1.634/ 0.269 ms  765 pps
13.0 Mbits/sec   0.178 ms    0/11056 (0%) -9.686/-9.988/-4.425/ 0.191 ms 1105 pps
9.00 Mbits/sec   0.093 ms    0/ 7654 (0%) -9.713/-9.984/-1.397/ 0.256 ms  765 pps
10.0 Mbits/sec   0.080 ms    0/ 8505 (0%) -9.712/-9.972/-4.213/ 0.228 ms  850 pps
7.00 Mbits/sec   0.118 ms    0/ 5954 (0%) -9.673/-9.961/-5.957/ 0.182 ms  595 pps
11.0 Mbits/sec   0.122 ms    0/ 9355 (0%) -9.591/-9.936/-0.582/ 0.370 ms  935 pps
10.0 Mbits/sec   0.124 ms    0/ 8505 (0%) -9.668/-9.943/-3.831/ 0.217 ms  850 pps
7.00 Mbits/sec   0.186 ms    0/ 5954 (0%) -9.632/-9.904/-4.041/ 0.239 ms  595 pps
8.00 Mbits/sec   0.166 ms    0/ 6804 (0%) -9.652/-9.934/-5.089/ 0.196 ms  680 pps
8.00 Mbits/sec   0.153 ms    0/ 6804 (0%) -9.639/-9.921/-8.283/ 0.165 ms  680 pps
8.00 Mbits/sec   0.123 ms    0/ 6804 (0%) -9.596/-9.908/-5.716/ 0.203 ms  680 pps
8.00 Mbits/sec   0.101 ms    0/ 6804 (0%) -9.615/-9.902/-7.085/ 0.173 ms  680 pps
10.0 Mbits/sec   0.105 ms    0/ 8505 (0%) -9.621/-9.901/-2.851/ 0.191 ms  850 pps
9.00 Mbits/sec   0.108 ms    0/ 7654 (0%) -9.557/-9.871/-5.074/ 0.211 ms  765 pps
11.0 Mbits/sec   0.072 ms    0/ 9355 (0%) -9.573/-9.869/-4.426/ 0.198 ms  935 pps
8.00 Mbits/sec   0.159 ms    0/ 6804 (0%) -9.569/-9.859/-4.431/ 0.243 ms  680 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%) -9.605/-9.870/-5.969/ 0.178 ms  765 pps
7.00 Mbits/sec   0.110 ms    0/ 5954 (0%) -9.591/-9.857/-6.262/ 0.193 ms  595 pps
